772,IB深圳福华一路营业部
11010,未来发展一部
11008,公司资管客户
10111,大连
11009,公司本部
639,IB武汉百步亭花园路营业部
867,IB杭州留和路营业部
866,IB福州五四路营业部
759,IB北京西直门营业部
878,IB成都菱安路营业部
833,IB开平东兴大道营业部
632,IB长沙芙蓉中路营业部
856,IB郑州国基路营业部
10,华安期货营业部
102,IB营业部
1000,职能部门
1,华安期货有限公司
33,IB宿州分公司
100,华安期货合肥本部
101,华安期货股指
103,华安期货上海分公司
105,芜湖营业部
106,青岛营业部
107,金华营业部
108,阜阳营业部
109,马鞍山营业部
110,郑州营业部
111,大连会展路营业部
112,安庆营业部
113,创新经济服务部
115,上海建韵路营业部
116,杭州营业部
117,深圳分公司
118,铜陵营业部
119,长春营业部
11,IB合肥花园街营业部
12,IB合肥金寨路营业部
15,IB阜阳文峰路营业部
16,IB合肥长江中路营业部
17,IB合肥润安大厦营业部
18,IB黄山分公司
19,IB池州分公司
20,IB宣城分公司
21,IB马鞍山分公司
22,IB安庆分公司
23,IB安庆宜城路营业部
25,IB铜陵分公司
26,IB铜陵淮河路营业部
27,IB巢湖市巢湖路营业部
28,IB芜湖分公司
29,IB六安分公司
30,IB淮南分公司
31,IB蚌埠分公司
32,IB滁州分公司
35,IB阜阳分公司
36,IB淮北分公司
37,IB合肥肥西巢湖中路营业部
38,IB长沙万家丽中路营业部
39,IB歙县鸿基商城营业部
42,IB池州东至尧北路营业部
43,IB宁国津河东路营业部
44,IB大连体坛路营业部
45,IB广德桐汭西路营业部
47,IB泾县云岭路营业部
49,IB桐城龙眠西路营业部
53,IB枞阳金山大道营业部
57,IB郑州商都路营业部
58,IB无为人民广场营业部
59,IB和县陋室西街营业部
60,IB庐江牌楼中路营业部
62,IB广州番禺丽江花园营业部
64,IB石家庄青园街营业部
65,IB济南英贤街营业部
66,IB宿松人民西路营业部
67,IB六安舒城桃溪路营业部
69,IB淮南春林大道营业部
71,IB怀远禹王路营业部
73,IB天长园林路营业部
74,IB厦门钟林路营业部
78,IB兰州金昌路营业部
79,IB太和人民南路营业部
81,IB上海鲁班路营业部
82,IB广州东华南路营业部
83,IB北京慧忠北里营业部
85,IB深圳深南西路营业部
86,IB北京东三环中路营业部
87,IB武汉沿江大道营业部
88,IB上海浦东南路营业部
89,IB芜湖北京中路营业部
90,IB马鞍山江东大道营业部
91,IB界首东升路营业部
92,IB涡阳时代广场营业部
93,IB亳州希夷大道营业部
95,IB濉溪淮海路营业部
96,IB南京广州路营业部
98,IB西安西长安街营业部
99,IB繁昌北门大道营业部
132,IB泉州宝洲路营业部
133,IB六安金寨金顾路营业部
138,IB六安大别山路营业部
139,IB合肥桐城南路营业部
501,IB淮南朝阳西路营业部
508,IB合肥合作化南路营业部
631,IB上海浦东新区张杨路营业部
633,IB天津围堤道营业部
636,IB北京中关村大街营业部
637,IB北京太阳宫营业部
686,IB合肥大通路营业部
687,IB合肥马鞍山路营业部
688,IB南昌子安路营业部
689,IB重庆分公司
722,IB昆明五一路营业部
751,IB洛阳周山路营业部
752,IB许昌建安大道营业部
756,IB郑州陇海路营业部
758,IB宿州淮海路营业部
776,IB浦江江滨中路营业部
777,IB蚌埠涂山路营业部
778,IB太原新建路营业部
779,IB郎溪中港路营业部
801,IB绍兴解放大道营业部
807,IB宁波中山东路营业部
809,IB厦门高林中路营业部
835,IB漳州胜利东路营业部
838,IB常德洞庭大道营业部
877,IB重庆财富大道营业部
898,IB南京胜太西路营业部
976,IB深圳深南东路营业部
977,IB合肥高新区营业部
978,IB杭州婺江路营业部
979,IB成都星狮路营业部
1001,客户服务部
1002,结算部
868,IB平顶山凌云路营业部
1004,财务部
1006,资产管理部
858,IB苏南分公司
1007,办公室
1008,互联网金融部
887,IB泰安泰山大街营业部
810,IB乌海狮城东街营业部
818,IB杭州金城路营业部
10003,金融期货部
10001,产业经济研究部
10002,机构服务部
10004,商品期货部
10005,IB事业部（本部）
10006,创新发展部
10007,投资发展部
10008,投资发展二部
10009,投资发展三部
10010,投资发展四部
816,IB新乡金穗大道营业部
1005,交易运营管理部
1060003,青岛营业部（2012.3.1）
10014,铜陵营业部（筹）
10505,产业经济服务部（金融）
10041,张泰峰部
1155,何承金
10060,市场服务部（2016.1.20）
1055,研究发展中心
1137,公司（邢峰12.03.01）
10043,王剑
1175,水佳状
1062,机构服务二部（庞强业务团队）
1060,厦门营业部（筹）20140305
1165,马鞍山客服代表(12.03.31划至营业部)
1021,IB事业部（IB)12.07.01
1135,阜阳
1083,上海信息中心(20151231止)
1061,产品开发部
10028,公司本部（刘亚男）(20151231止)
1082,公司其他（陈玮玮）(20151231止)
1057,化工品事业部
1063,上海商城路
10019,黄庆胜
10021,傅金祥
1084,研发中心（张海峰）
1166,马鞍山（陈辉）
1056,原化工品事业部20150301
10051,研发中心（陆海霞）
1058,中小企业服务部（金融）
1072,钢材研究部
1059,金融事业研究部（20140224）
10031,量化投资研究部（原李然）
10013,长春营业部筹
10046,冯丽颖
10029,量化投资研究部（赵伟）
10044,商品部(聂士国)(20151231止)
10026,郑州客服代表
10040,金融部（庄海泉）(20151231止)
1003,总经办
885,IB肥东龙泉西路营业部
757,IB温州汤家桥路营业部
